Date,Bogle,Dividend Yield,PE,Earnings Growth,Earnings,Index Level
1871.12,NaN,0.05417695473251028,12.074534161490684,NaN,0.400000,4.740000,
1872.01,NaN,0.054651639344262294,12.049382716049381,NaN,0.402500,4.860000,
1872.02,NaN,0.053571428571428575,12.368098159509204,NaN,0.405000,4.880000,
1872.03,NaN,0.05276061776061776,12.634146341463415,NaN,0.407500,5.040000,
1872.04,NaN,0.05341698841698842,12.557575757575757,NaN,0.410000,5.180000,
1872.05,NaN,0.05458089668615985,12.361445783132531,NaN,0.412500,5.180000,
1872.06,NaN,0.05554901960784314,12.215568862275449,NaN,0.415000,5.130000,
1872.07,NaN,0.056884920634920635,12,NaN,0.417500,5.100000,
1872.08,NaN,0.05858585858585858,11.715976331360947,NaN,0.420000,5.040000,
1872.09,NaN,0.05901408450704226,11.694117647058823,NaN,0.422500,4.950000,
1872.1,NaN,0.05993939393939394,11.578947368421053,NaN,0.425000,4.970000,
1872.11,NaN,0.05917159763313609,11.790697674418606,NaN,0.427500,4.950000,
1872.12,NaN,0.059197651663405085,11.815028901734104,NaN,0.430000,5.070000,
1873.01,NaN,0.059223300970873784,11.839080459770116,NaN,0.432500,5.110000,
1873.02,NaN,0.06017612524461839,11.680000000000001,NaN,0.435000,5.150000,
1873.03,NaN,0.061507936507936505,11.454545454545455,NaN,0.437500,5.110000,
1873.04,NaN,0.06188118811881188,11.412429378531073,NaN,0.440000,5.040000,
1873.05,NaN,0.06325301204819277,11.191011235955058,NaN,0.442500,5.050000,
1873.06,NaN,0.06388329979879276,11.106145251396647,NaN,0.445000,4.980000,
1873.07,NaN,0.06438631790744467,11.044444444444444,NaN,0.447500,4.970000,
1873.08,NaN,0.07026143790849673,10.143646408839778,NaN,0.450000,4.970000,
1873.09,NaN,0.07756563245823389,9.20879120879121,NaN,0.452500,4.590000,
1873.1,NaN,0.08106435643564357,8.830601092896174,NaN,0.455000,4.190000,
1873.11,NaN,0.0746606334841629,9.608695652173912,NaN,0.457500,4.040000,
1873.12,NaN,0.07081545064377683,10.130434782608695,NaN,0.460000,4.420000,
1874.01,NaN,0.06875,10.43478260869565,NaN,0.460000,4.660000,
1874.02,NaN,0.06976744186046512,10.282608695652174,NaN,0.460000,4.800000,
1874.03,NaN,0.07173913043478261,9.999999999999998,NaN,0.460000,4.730000,
1874.04,NaN,0.07366071428571429,9.73913043478261,NaN,0.460000,4.600000,
1874.05,NaN,0.07399103139013453,9.695652173913043,NaN,0.460000,4.480000,
1874.06,NaN,0.07399103139013453,9.695652173913043,NaN,0.460000,4.460000,
1874.07,NaN,0.0738255033557047,9.717391304347824,NaN,0.460000,4.460000,
1874.08,NaN,0.07268722466960353,9.869565217391305,NaN,0.460000,4.470000,
1874.09,NaN,0.0728476821192053,9.847826086956522,NaN,0.460000,4.540000,
1874.1,NaN,0.07221006564551422,9.934782608695652,NaN,0.460000,4.530000,
1874.11,NaN,0.07268722466960353,9.869565217391305,NaN,0.460000,4.570000,
1874.12,NaN,0.07213656387665199,10.050918751383662,NaN,0.460000,4.540000,
1875.01,NaN,0.07174392935982339,10.218813444619895,NaN,0.451700,4.540000,
1875.02,NaN,0.07026143790849673,10.551724137931034,NaN,0.443300,4.530000,
1875.03,NaN,0.06881720430107527,10.8975861260839,NaN,0.435000,4.590000,
1875.04,NaN,0.07102908277404922,10.686110447047573,NaN,0.426700,4.650000,
1875.05,NaN,0.07191780821917808,10.682926829268293,NaN,0.418300,4.470000,
1875.06,NaN,0.07118451025056947,10.928553647000248,NaN,0.410000,4.380000,
1875.07,NaN,0.07029478458049887,11.212814645308926,NaN,0.401700,4.390000,
1875.08,NaN,0.07036613272311212,11.35064935064935,NaN,0.393300,4.410000,
1875.09,NaN,0.07093023255813953,11.414919033713831,NaN,0.385000,4.370000,
1875.1,NaN,0.06922196796338673,11.865327178930219,NaN,0.376700,4.300000,
1875.11,NaN,0.06864988558352403,12.13888888888889,NaN,0.368300,4.370000,
1875.12,NaN,0.06726457399103139,12.62383243702236,NaN,0.360000,4.370000,
1876.01,NaN,0.06637168141592921,13.037207960773001,NaN,0.353300,4.460000,
1876.02,NaN,0.06651884700665188,13.26470588235294,NaN,0.346700,4.520000,
1876.03,NaN,0.06912442396313365,13.021302130213021,NaN,0.340000,4.510000,
1876.04,NaN,0.07177033492822966,12.794612794612794,NaN,0.333300,4.340000,
1876.05,NaN,0.07228915662650602,12.96875,NaN,0.326700,4.180000,
1876.06,NaN,0.07317073170731708,13.086498563676985,NaN,0.320000,4.150000,
1876.07,NaN,0.07633587786259541,12.813824584284319,NaN,0.313300,4.100000,
1876.08,NaN,0.08130081300813008,12.3,NaN,0.306700,3.930000,
1876.09,NaN,0.08174386920980926,12.512785543811797,NaN,0.300000,3.690000,
1876.1,NaN,0.08333333333333333,12.556679455877223,NaN,0.293300,3.670000,
1876.11,NaN,0.08379888268156424,12.785714285714285,NaN,0.286700,3.600000,
1876.12,NaN,0.08191549295774649,12.602058927937522,NaN,0.280000,3.580000,
1877.01,NaN,0.08434131736526947,11.789622308506884,NaN,0.281700,3.550000,
1877.02,NaN,0.0859621451104101,11.12280701754386,NaN,0.283300,3.340000,
1877.03,NaN,0.0895578231292517,10.254621555633065,NaN,0.285000,3.170000,
1877.04,NaN,0.0864625850340136,10.197710718002082,NaN,0.286700,2.940000,
1877.05,NaN,0.08974358974358974,9.413793103448276,NaN,0.288300,2.940000,
1877.06,NaN,0.08273684210526316,9.77031196434693,NaN,0.290000,2.730000,
