,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
Speculative Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/E Level,15.13,15.35,25.93,22.50,21.34,14.89,18.08,19.53,24.29,32.92,29.04,27.55,46.17,31.43,22.73,19.99,18.07,17.36,21.46,70.91,20.70,16.30,14.87,17.03,18.15,20.02,22.18,23.59,24.97,19.60,24.88,35.96,23.11,22.82,25.01,
(Annualized change in P/E),,1.4540647719762,0.689250814332248,-0.132279213266487,-0.0515555555555556,-0.302249297094658,0.214237743451981,0.080199115044248,0.243727598566308,0.355290242898312,-0.117861482381531,-0.0513085399449035,0.675862068965517,-0.319254927442062,-0.276805599745466,-0.120545534535856,-0.096048024012006,-0.0392916436081904,0.236175115207373,2.30428704566636,-0.708080665632492,-0.21,-0.0877300613496933,0.145258910558171,0.0657662947739282,0.103030303030303,0.107892107892108,0.063570784490532,0.0584993641373464,-0.21505806968362,0.269387755102041,0.445337620578778,-0.35734149054505,-0.0125486802250108,0.095968448729185,
